id,user_id,from_account,to_account,amount,currency,recipient_name,recipient_is_new,status,risk_score,created_at,_is_fraud
758,191,AL8513635636313408,AL5388573709551508,144.1,EUR,Teresa Powell,False,ALLOWED,0.134,2026-05-17 18:21:19.307947,0
759,48,AL9149590073544907,AL4115314639759410,56.27,USD,Curtis Buchanan,False,ALLOWED,0.007,2025-10-12 20:38:47.308949,0
760,80,AL9237152191068175,AL4774448323131070,135.55,EUR,Geoffrey Cohen,False,ALLOWED,0.202,2025-09-24 05:39:11.308949,0
761,273,AL3964002275959537,AL9465638265503056,272.78,EUR,Julie Perry,False,ALLOWED,0.228,2025-07-08 04:39:00.308949,0
762,172,AL3473032321917769,AL6220078151478939,28.4,ALL,Lauren Brown,False,REQUIRE_2FA,0.137,2026-02-05 12:47:34.309949,0
763,202,AL7945956455765098,AL1152216025462673,38.64,ALL,Adam Williams,True,ALLOWED,0.314,2025-12-28 16:25:01.309949,0
764,453,AL6772896986481589,AL6862708878543961,4959.43,EUR,Harry Greene,False,ALLOWED,0.045,2026-05-06 14:32:47.311013,0
765,78,AL1514310591428492,AL1089206585770171,313.59,ALL,Christopher May,False,ALLOWED,0.246,2025-07-17 13:02:21.311013,0
766,220,AL2118159642019108,AL1914468575412403,79.61,ALL,Justin Conner,False,HELD,0.199,2025-09-07 06:54:53.312030,0
767,85,AL7677944618763346,AL5742483091682321,304.49,ALL,James Torres,True,ALLOWED,0.234,2026-03-05 16:11:39.312030,0
768,81,AL4774448323131070,AL1606347485962745,28.05,ALL,Christopher Cruz,False,ALLOWED,0.144,2026-04-14 06:08:52.313030,0
769,318,AL0284955450045542,AL9776363627572781,58.91,EUR,Jennifer Harris,False,ALLOWED,0.132,2025-12-08 18:05:36.313030,0
770,388,AL6398877590713267,AL0250885306576117,10.14,USD,Kristin Hicks,False,ALLOWED,0.165,2025-07-16 02:42:37.313030,0
771,162,AL8435729469417049,AL6617785746678077,1004.22,EUR,Andrew Mcgrath,False,ALLOWED,0.035,2025-07-06 12:04:36.314031,0
772,272,AL1914468575412403,AL7653780398914185,104.52,ALL,Tracy Ferrell,False,ALLOWED,0.052,2025-07-06 06:05:14.314031,0
773,457,AL7905053387580612,AL3152886667493066,123.69,ALL,David Martinez,True,BLOCKED,0.999,2025-06-01 14:17:47.315028,1
774,117,AL5304192401207992,AL4987087358950660,582.92,EUR,Jeffrey Melton,False,HELD,0.27,2026-05-05 12:54:32.315028,0
775,169,AL6727681682707610,AL6122363356089656,129.1,ALL,Leroy Forbes,False,ALLOWED,0.25,2026-05-02 14:30:50.316091,0
776,170,AL5048612897068654,AL9951713308535045,229.09,ALL,Thomas Mason,True,ALLOWED,0.068,2026-03-18 07:55:08.316091,0
777,9,AL5135316612267797,AL6801368954404527,171.75,EUR,Ellen Young,False,ALLOWED,0.065,2026-01-03 17:10:04.317110,0
778,336,AL7877822547017833,AL7952822883797061,4748.22,EUR,Derrick Norman,True,BLOCKED,0.644,2025-06-17 08:38:11.317110,1
779,220,AL2118159642019108,AL0558813210051117,132.49,ALL,Chad Gallegos,False,REQUIRE_2FA,0.282,2025-09-12 05:02:26.318106,0
780,285,AL4636367443755010,AL2036733768989433,261.06,EUR,Matthew Patterson,False,ALLOWED,0.033,2025-09-30 15:43:05.318106,0
781,99,AL2255477272403947,AL2650437396148277,681.91,ALL,Sean Erickson,False,ALLOWED,0.06,2026-01-28 17:40:43.319107,0
782,498,AL4173802254159124,AL0646805845490888,33.71,ALL,Scott Turner,False,ALLOWED,0.335,2026-03-22 23:03:26.319107,0
783,162,AL8435729469417049,AL1482903361262883,6144.35,ALL,Tyler Allen,True,BLOCKED,0.99,2025-06-01 13:00:29.320106,1
784,273,AL3964002275959537,AL7905053387580612,121.2,ALL,David Best,False,ALLOWED,0.066,2026-05-03 06:59:46.320106,0
785,309,AL2942284375640005,AL1813681283270888,1085.35,ALL,Colton Lewis,True,HELD,0.822,2025-05-30 18:13:06.321168,1
786,250,AL2749559433871436,AL5280757417643342,110.56,EUR,Wayne Guerrero,False,BLOCKED,0.114,2026-05-06 09:04:46.321168,0
787,346,AL6161973400506315,AL6409199076281297,8.18,ALL,Matthew Rodriguez,True,HELD,0.114,2026-05-01 12:37:14.322182,0
788,446,AL0618407743091856,AL6220078151478939,116.05,ALL,Janice Mendez,False,ALLOWED,0.315,2026-02-08 01:04:39.322182,0
789,298,AL4603208475896348,AL1376258103638853,47.63,EUR,Destiny Beltran,False,REQUIRE_2FA,0.177,2025-12-13 05:23:13.323185,0
790,307,AL5882176351772430,AL2118159642019108,349.93,ALL,Matthew Perez,False,ALLOWED,0.346,2026-03-29 18:25:08.323185,0
791,144,AL9951713308535045,AL0188265146980241,120.77,EUR,Christopher Woodard,False,ALLOWED,0.075,2025-11-26 23:44:00.323185,0
792,493,AL0875531060175421,AL0502004870036783,212.7,ALL,Gregory Jones,False,ALLOWED,0.166,2026-05-20 12:27:19.324184,0
793,258,AL3527922174220462,AL2611789641263414,204.07,EUR,Joseph Berry,False,ALLOWED,0.256,2025-11-11 19:46:24.324184,0
794,337,AL0225025366982665,AL7905053387580612,1070.31,ALL,Heather Brooks,False,ALLOWED,0.103,2025-07-15 11:32:12.325180,0
795,367,AL6978740679655100,AL3126851974593016,2062.36,ALL,Henry Ramirez,False,ALLOWED,0.328,2025-11-27 07:48:57.325180,0
796,231,AL6276898173466491,AL2283606875823067,132.17,EUR,Kevin Jones,True,ALLOWED,0.012,2025-11-10 21:27:15.326165,0
797,473,AL0447412536935825,AL2840952650746866,218.52,EUR,Angel Butler,False,ALLOWED,0.304,2025-11-04 08:27:00.326165,0
798,183,AL2611789641263414,AL9979785089345663,119.2,ALL,Andrew Hall,False,ALLOWED,0.161,2026-04-21 05:40:28.327244,0
799,463,AL5512329346765982,AL2993253940103388,4.92,USD,Matthew Johnson,False,ALLOWED,0.232,2026-04-19 17:16:25.327244,0
800,320,AL2174015131767032,AL5319764854420580,498.99,USD,Patricia Cunningham,True,ALLOWED,0.239,2025-08-19 00:28:12.328260,0
801,310,AL1017720381741956,AL1376258103638853,1.8,CHF,Krystal James,False,BLOCKED,0.875,2025-07-28 18:07:10.328260,1
802,140,AL0351207883595237,AL8920640293266385,142.34,ALL,Tonya Murphy,False,ALLOWED,0.185,2025-12-06 22:09:46.329262,0
803,22,AL7641369078941288,AL2241515611872829,813.38,USD,Haley Owen,True,ALLOWED,0.021,2026-03-25 09:18:39.329262,0
804,328,AL7653780398914185,AL9514753302629054,687.19,EUR,Tina Schaefer,False,ALLOWED,0.203,2025-11-30 12:02:01.329262,0
805,150,AL7952822883797061,AL6550573603492249,573.01,ALL,Lindsay Bryant,True,ALLOWED,0.609,2025-12-05 21:21:46.330262,1
806,21,AL7497267378876273,AL6596491912879763,6039.39,ALL,Diane Sanchez,True,BLOCKED,0.853,2025-09-18 12:51:35.330262,1
807,270,AL5854985146256057,AL2658000376266174,50.32,GBP,Richard Doyle,False,ALLOWED,0.07,2025-09-12 07:59:13.331257,0
808,87,AL7481322331758710,AL0059540608892127,240.27,USD,Jasmine Richardson,False,ALLOWED,0.136,2025-09-29 06:59:57.331257,0
809,138,AL6862708878543961,AL4389973728240035,113.73,ALL,Jessica Wilson,False,ALLOWED,0.009,2025-08-25 07:01:26.332329,0
810,144,AL9951713308535045,AL4476269496990818,1.21,ALL,Jason Rios,True,REQUIRE_2FA,0.874,2025-08-01 06:03:04.332329,1
811,234,AL3547957584349610,AL4476269496990818,34.87,ALL,Dennis Acosta,False,ALLOWED,0.051,2026-02-18 20:40:42.333344,0
812,452,AL5588030362145702,AL6723307549196267,517.85,ALL,Gwendolyn Roach,True,ALLOWED,0.267,2025-11-29 19:18:19.333344,0
813,175,AL3787539244757938,AL1482903361262883,82.17,EUR,Jenny Reid,False,ALLOWED,0.313,2025-06-15 02:27:36.334327,0
814,149,AL9514753302629054,AL3787539244757938,1764.35,ALL,Thomas Armstrong,False,ALLOWED,0.279,2025-06-01 08:00:18.334327,0
815,489,AL8709161166638083,AL2701086793755640,531.11,ALL,Sheila Davis,False,REQUIRE_2FA,0.321,2026-04-25 13:32:29.335343,0
816,246,AL4086020907558810,AL5913097247952666,2757.94,ALL,Reginald Garcia,False,ALLOWED,0.115,2026-05-09 18:59:55.335343,0
817,279,AL5914936172586413,AL0284955450045542,344.82,ALL,Nicole Weaver,False,REQUIRE_2FA,0.002,2025-09-03 03:43:10.336342,0
818,328,AL7653780398914185,AL1502345837972624,1.82,GBP,Kenneth Wilson,True,BLOCKED,0.68,2026-02-26 01:25:06.336342,1
819,118,AL4124883359921731,AL2036733768989433,456.83,ALL,Nathan Jones,True,ALLOWED,0.233,2025-08-24 20:42:07.336342,0
820,408,AL2650437396148277,AL0558813210051117,43.31,EUR,Mark Hamilton,False,ALLOWED,0.24,2025-11-20 20:10:58.337397,0
821,414,AL0693624761894358,AL7585007030351490,330.72,ALL,Edwin Turner,False,ALLOWED,0.181,2025-10-26 10:39:09.337397,0
822,378,AL1889277789401880,AL0284955450045542,111.55,USD,Hannah Callahan,True,ALLOWED,0.253,2025-11-11 14:29:05.338417,0
823,14,AL1282742357698762,AL9979785089345663,2606.67,ALL,Sarah King,False,ALLOWED,0.133,2025-09-22 21:47:08.338417,0
824,474,AL7168148018179444,AL4177023708318019,741.38,ALL,Alexandra Todd,False,ALLOWED,0.314,2025-06-15 10:45:42.339413,0
825,65,AL2036733768989433,AL6629504935678155,1479.29,USD,Sarah Allen,True,ALLOWED,0.061,2025-11-23 17:52:44.339413,0
826,234,AL3547957584349610,AL4830827750964877,80.32,USD,Caitlin English,False,REQUIRE_2FA,0.039,2026-01-24 07:47:18.340412,0
827,260,AL0666798796657054,AL1062332762675594,6494.34,CHF,Samuel Price,False,BLOCKED,0.328,2025-10-07 02:35:05.340412,0
828,496,AL6617785746678077,AL0693624761894358,472.56,ALL,Elizabeth Benson,False,ALLOWED,0.291,2026-04-22 05:30:12.341411,0
829,26,AL7413071395457268,AL2658000376266174,1856.85,ALL,Rita Ellis,False,ALLOWED,0.117,2025-09-27 05:38:32.341411,0
830,351,AL0095386661070712,AL9091536784932356,93.57,ALL,Austin Evans,False,ALLOWED,0.095,2026-05-20 15:42:22.342479,0
831,336,AL7877822547017833,AL2942284375640005,704.3,USD,Elizabeth Hernandez,False,ALLOWED,0.182,2026-01-09 06:45:07.342479,0
832,390,AL2459083769190864,AL8768195427960473,90.42,ALL,Melinda Nguyen,False,ALLOWED,0.027,2025-10-09 20:38:16.343494,0
833,92,AL8826055398022857,AL8466375327218367,569.99,USD,Kimberly Mccoy,False,ALLOWED,0.315,2025-08-02 10:11:49.343494,0
834,38,AL1606347485962745,AL0284955450045542,6500.06,EUR,Michelle Jones,True,ALLOWED,0.025,2025-08-12 13:12:25.344493,0
835,8,AL5201944470024644,AL2504004780245965,1662.47,ALL,Robert Robinson,False,ALLOWED,0.201,2026-04-10 11:54:26.344493,0
836,259,AL0288015697206595,AL7653780398914185,100.41,ALL,Paul Stevenson,False,ALLOWED,0.279,2026-01-14 06:27:43.345493,0
837,197,AL4379845475443564,AL8626212210954924,134.13,EUR,Sherry Walker,False,REQUIRE_2FA,0.225,2025-12-01 22:19:46.345493,0
838,221,AL4251864575899673,AL5014669837083797,596.83,ALL,Kenneth Patel,False,ALLOWED,0.295,2025-07-05 09:15:55.346492,0
839,237,AL2277153659966817,AL5116929330446114,177.4,ALL,Savannah Mayo,False,ALLOWED,0.035,2025-07-17 11:04:45.346492,0
840,392,AL3472656470788930,AL3129614141656422,39.97,EUR,Kevin Waller,False,ALLOWED,0.074,2025-09-03 17:24:44.347491,0
841,399,AL2241515611872829,AL4695351069850942,171.14,EUR,Hunter Caldwell,False,ALLOWED,0.33,2025-09-13 00:04:54.347643,0
842,333,AL9653384711216652,AL2174015131767032,14.11,EUR,Calvin White,False,ALLOWED,0.077,2026-04-22 23:12:58.347643,0
843,310,AL1017720381741956,AL1475592264901348,554.52,GBP,Andrew Wolf,False,ALLOWED,0.109,2025-11-12 04:35:48.348662,0
844,77,AL8728027378009554,AL4428699475476976,100.14,CHF,Mario Chambers,False,ALLOWED,0.205,2025-09-04 15:34:39.348662,0
845,80,AL9237152191068175,AL6978740679655100,171.0,ALL,Lisa Jones,False,REQUIRE_2FA,0.214,2026-01-25 21:38:45.349661,0
846,326,AL6873836500199490,AL6140672323224872,2330.3,ALL,Nancy Rowe,False,ALLOWED,0.275,2025-10-02 22:35:35.349661,0
847,344,AL5281876842194839,AL2961182712226997,633.69,ALL,Jennifer Callahan,False,REQUIRE_2FA,0.052,2025-05-26 16:38:29.350660,0
848,332,AL9827197698810924,AL1017720381741956,319.68,ALL,Michael Ibarra,False,ALLOWED,0.262,2025-11-26 14:57:26.350660,0
849,37,AL2840952650746866,AL3487686345076757,432.13,EUR,Kathleen Martinez,False,ALLOWED,0.346,2026-04-01 09:10:25.351656,0
850,62,AL9079727146462666,AL6697057448664259,391.93,GBP,Michael Walker,False,BLOCKED,0.209,2025-06-06 00:56:45.351656,0
851,296,AL4236032014135804,AL6220078151478939,79.81,ALL,Mark Norman,False,ALLOWED,0.174,2025-07-16 23:28:27.351656,0
852,17,AL8929385766677185,AL8716818187171592,90.28,GBP,Erica Bray,False,REQUIRE_2FA,0.15,2025-05-29 05:43:00.352716,0
853,467,AL5269369801993556,AL6773916170236023,262.24,ALL,William Garcia,False,ALLOWED,0.219,2025-11-20 01:22:19.352716,0
854,126,AL0815969333364743,AL4548054268500463,769.5,EUR,Victoria Smith,True,REQUIRE_2FA,0.722,2025-10-09 10:26:04.353735,1
855,60,AL2961182712226997,AL0000209913765966,630.58,EUR,William Jones,True,REQUIRE_2FA,0.197,2026-03-01 15:39:20.353735,0
856,337,AL0225025366982665,AL5800975955287277,534.33,ALL,Jessica Martin,False,ALLOWED,0.235,2025-09-20 12:37:50.354730,0
857,302,AL6883031519629741,AL2283606875823067,89.0,ALL,David Stein,False,ALLOWED,0.297,2026-03-04 04:12:06.354730,0
858,129,AL0788569647585800,AL8181314728669439,853.07,ALL,Robert Escobar,False,ALLOWED,0.194,2025-12-30 18:17:50.354730,0
859,180,AL9661759463018736,AL8485568150488235,1077.04,ALL,Theresa Stevens,False,ALLOWED,0.28,2025-10-22 01:49:36.355734,0
860,64,AL8264178511455252,AL3839578785041822,103.97,ALL,Mary Munoz,False,REQUIRE_2FA,0.146,2025-08-18 01:41:15.355734,0
861,456,AL4049028510458844,AL4742451119713418,26.31,CHF,Jose Scott,False,ALLOWED,0.138,2026-03-06 23:03:14.356733,0
862,470,AL1143903729799147,AL6617785746678077,50.99,ALL,Jason Turner,False,ALLOWED,0.032,2025-07-01 01:41:27.356733,0
863,180,AL9661759463018736,AL5676191464290297,1166.23,EUR,Nicole Martinez,False,ALLOWED,0.273,2026-05-15 07:29:34.357714,0
864,242,AL8425896753448570,AL4236032014135804,913.3,ALL,Terri Martinez,False,ALLOWED,0.332,2026-02-17 20:48:38.357714,0
865,299,AL1914496858884397,AL8888374889541655,101.09,ALL,Kelli Copeland,False,ALLOWED,0.005,2025-08-30 06:14:42.358804,0
866,431,AL5754450919054548,AL4883256179853374,1816.59,ALL,Vickie James,True,HELD,0.127,2026-02-15 12:24:35.358804,0
867,232,AL3458925061061417,AL5913097247952666,48.05,EUR,Scott Fletcher,False,ALLOWED,0.157,2026-04-22 02:22:47.359820,0
868,350,AL3152886667493066,AL6970003393082978,453.68,CHF,Christopher Goodwin,False,ALLOWED,0.229,2026-01-12 06:50:49.359820,0
869,323,AL1825012558170211,AL4636367443755010,364.79,ALL,Mr. Terry Miller Jr.,False,ALLOWED,0.313,2026-05-21 01:40:09.360823,0
870,224,AL1813681283270888,AL8181314728669439,277.26,ALL,Brian Davis,False,ALLOWED,0.025,2026-01-17 08:33:50.360823,0
871,498,AL4173802254159124,AL7183647611852119,58.72,ALL,Bobby Garcia,True,ALLOWED,0.117,2025-09-19 15:30:41.360823,0
872,386,AL4830827750964877,AL8274069109527332,149.34,ALL,Kevin Flores,False,ALLOWED,0.308,2025-12-27 13:34:59.361823,0
873,491,AL2332116405843232,AL0223946649207628,1687.39,ALL,Deborah Evans,True,ALLOWED,0.181,2025-12-21 17:10:40.361823,0
874,284,AL4676687842265029,AL9350959335857277,509.53,ALL,Isaac Yu,False,ALLOWED,0.047,2025-10-05 13:32:11.362822,0
875,147,AL0487687681827940,AL5268427193370213,1646.16,ALL,Douglas Jackson,False,ALLOWED,0.322,2026-04-19 09:04:57.362822,0
876,218,AL6907742368656060,AL5346328460081794,356.71,ALL,Michael Miller,False,ALLOWED,0.281,2025-09-15 15:33:03.363940,0
877,277,AL3378188116836932,AL7499942088508256,899.58,GBP,Melanie Garcia,True,BLOCKED,0.646,2025-11-27 19:05:53.363940,1
878,372,AL1586214431159549,AL6027535930397891,794.28,ALL,Brittany Andrews,False,ALLOWED,0.323,2025-12-03 16:10:15.364955,0
879,353,AL3631544492250155,AL3694131470726876,139.03,GBP,Debra Ross,False,ALLOWED,0.222,2025-10-09 17:44:12.364955,0
880,155,AL5880721503525471,AL8948617367998544,81.79,ALL,Carolyn Williams,True,ALLOWED,0.332,2026-04-14 22:38:54.365954,0
881,314,AL8858348374226437,AL2993253940103388,881.64,EUR,Mrs. Jennifer Williams,False,BLOCKED,0.334,2025-11-09 21:54:48.365954,0
882,500,AL9350959335857277,AL6530787464332961,109.75,USD,Mr. Collin Gallagher,False,ALLOWED,0.124,2025-10-02 23:22:03.366954,0
883,47,AL7045123698100512,AL8123387558421364,1061.44,ALL,James Nelson,False,ALLOWED,0.197,2025-12-29 16:40:19.366954,0
884,397,AL5388573709551508,AL8957972118523286,195.93,EUR,Mary Garcia,False,ALLOWED,0.175,2025-07-17 12:43:01.367939,0
885,136,AL3503519923151356,AL5364448639897373,5236.3,ALL,Cole Green,False,ALLOWED,0.038,2025-06-08 09:41:42.367939,0
886,100,AL3951129196983812,AL2510001620048302,1621.26,GBP,Autumn Fleming,False,ALLOWED,0.299,2025-08-25 02:00:20.368983,0
887,381,AL3867485634830334,AL5020667136880408,53.16,ALL,Eugene Simpson,False,ALLOWED,0.14,2026-01-21 17:21:33.369023,0
888,82,AL9025031901115392,AL3129614141656422,681.17,ALL,Edward Kerr,False,HELD,0.324,2025-11-12 03:36:19.369023,0
889,379,AL5618450852330988,AL3549351833548551,367.43,ALL,Jamie Hanson,False,ALLOWED,0.111,2025-07-25 18:18:27.370038,0
890,477,AL8866961536622028,AL9979785089345663,310.8,ALL,Mr. William Blevins,True,ALLOWED,0.007,2026-03-09 00:30:14.370038,0
891,473,AL0447412536935825,AL1825012558170211,217.5,ALL,Kathryn Gomez,False,ALLOWED,0.34,2026-03-15 08:31:41.371037,0
892,397,AL5388573709551508,AL6224271835137215,286.69,EUR,Hannah Garza,False,REQUIRE_2FA,0.154,2026-01-09 15:56:41.371037,0
893,449,AL9979785089345663,AL1152216025462673,1167.67,ALL,Lauren Lee,False,ALLOWED,0.029,2026-05-03 16:32:38.372037,0
894,261,AL2193034639693636,AL4996662800688633,136.19,EUR,Jennifer Medina,False,ALLOWED,0.278,2025-11-15 23:22:40.372037,0
895,94,AL8626212210954924,AL7413071395457268,15.75,ALL,Cheryl Hernandez,False,ALLOWED,0.149,2026-02-14 23:45:35.373036,0
896,479,AL4498701466213799,AL4470778975438350,241.32,ALL,Eric Holden,False,ALLOWED,0.341,2026-04-19 11:58:46.373036,0
897,312,AL9332052816561463,AL1221237387919693,203.36,ALL,Ashley Bridges,False,ALLOWED,0.302,2025-07-07 09:45:30.374021,0
898,284,AL4676687842265029,AL7672449230198275,198.68,ALL,Nancy Hernandez,False,ALLOWED,0.161,2026-01-30 09:20:13.374021,0
899,281,AL8962924852036721,AL5388573709551508,111.09,EUR,Daniel Chen,False,ALLOWED,0.212,2025-12-04 08:42:28.375093,0
900,266,AL8770472477843364,AL5319764854420580,73.87,USD,David Silva,False,ALLOWED,0.344,2025-06-19 07:56:35.375093,0
901,322,AL8636525695195273,AL1266153590947437,613.2,EUR,Jose Collier,False,REQUIRE_2FA,0.163,2025-06-21 18:38:37.376109,0
902,293,AL8466375327218367,AL5645433960970759,1448.05,ALL,Daniel Fritz,False,ALLOWED,0.078,2025-08-21 12:16:12.376109,0
903,3,AL8226618180777647,AL3684424862570722,61.3,USD,Christopher Rodriguez,False,ALLOWED,0.129,2026-01-11 10:37:57.376109,0
904,83,AL4469833715416316,AL7238639352145838,131.87,ALL,Rebekah Kelly,False,ALLOWED,0.091,2026-02-02 11:08:29.377108,0
905,436,AL4366343000454923,AL0225025366982665,175.87,ALL,Charles Butler,False,REQUIRE_2FA,0.071,2025-06-28 15:37:40.377108,0
906,327,AL0060293739846493,AL0241183557728384,193.51,USD,Leslie Davis,False,REQUIRE_2FA,0.19,2026-04-21 18:35:06.378110,0
907,175,AL3787539244757938,AL1266153590947437,246.93,ALL,Donald Kelley,True,ALLOWED,0.14,2025-07-19 23:11:03.378110,0
908,217,AL8867461550573522,AL4227816437274078,1408.03,EUR,Bonnie Jones,True,ALLOWED,0.267,2025-08-15 06:31:13.379111,0
909,371,AL2812197562089005,AL4379845475443564,78.9,EUR,Elizabeth Moore,False,ALLOWED,0.058,2025-06-29 17:57:13.379111,0
910,263,AL7690830611925210,AL2611789641263414,75.77,ALL,Mark Harris,False,ALLOWED,0.301,2025-07-11 17:04:00.380169,0
911,185,AL2510001620048302,AL2730510125920132,225.93,ALL,Erica Clarke,False,ALLOWED,0.207,2026-05-12 06:15:09.380169,0
912,182,AL4002021906317979,AL5059429045494907,565.03,EUR,Jim Ruiz,False,ALLOWED,0.199,2025-09-01 11:52:04.380169,0
913,278,AL4628188179538512,AL2113701289400840,1.23,ALL,Denise Fields,True,HELD,0.725,2025-08-24 06:54:38.381190,1
914,466,AL6220078151478939,AL8929385766677185,49.22,EUR,Danielle Herrera,True,ALLOWED,0.091,2026-01-13 20:17:26.381190,0
915,462,AL3766592921880552,AL8500448575366716,588.03,ALL,Austin Harris,False,ALLOWED,0.066,2025-10-25 04:19:54.382186,0
916,58,AL4695351069850942,AL2650437396148277,499.85,GBP,David Martinez,False,ALLOWED,0.27,2025-11-13 02:31:54.382186,0
917,32,AL4957400228886564,AL4293840812889473,2519.88,ALL,Benjamin Hernandez,False,REQUIRE_2FA,0.722,2025-07-18 07:58:21.383190,1
918,237,AL2277153659966817,AL8205378939132963,146.08,USD,Karen Abbott,False,REQUIRE_2FA,0.135,2025-11-27 11:32:03.383190,0
919,445,AL6102159242072568,AL4830827750964877,19.61,ALL,Mary Curtis,False,ALLOWED,0.288,2026-01-15 09:00:29.384183,0
920,218,AL6907742368656060,AL4556189188734818,609.76,ALL,Shannon Humphrey,True,ALLOWED,0.009,2025-06-04 16:01:06.384183,0
921,84,AL5059429045494907,AL5268427193370213,138.6,EUR,David Johnson,False,ALLOWED,0.042,2025-06-29 09:12:53.385235,0
922,157,AL0059540608892127,AL7987484183938542,1401.82,ALL,Michael Levy,False,ALLOWED,0.093,2025-12-31 22:30:56.385235,0
923,202,AL7945956455765098,AL4251864575899673,39.58,ALL,Brian Goodwin,False,ALLOWED,0.318,2025-12-15 08:58:14.386255,0
924,378,AL1889277789401880,AL9827197698810924,89.31,ALL,Peter Montes,False,ALLOWED,0.149,2026-02-07 01:08:15.386255,0
925,431,AL5754450919054548,AL0032503496834489,11718.71,ALL,Ashley Arnold,False,REQUIRE_2FA,0.107,2025-09-08 06:53:08.387254,0
926,158,AL1062332762675594,AL0117642052568402,44.39,ALL,Jennifer Lane,False,ALLOWED,0.124,2026-01-09 01:52:08.387254,0
927,180,AL9661759463018736,AL8205378939132963,1247.92,ALL,Carla Howard,False,ALLOWED,0.096,2026-01-11 10:56:20.387254,0
928,254,AL4163582684944868,AL4173802254159124,19.87,ALL,Terry Madden DDS,False,ALLOWED,0.255,2025-11-10 15:34:51.388254,0
929,134,AL5894158902408169,AL6727681682707610,177.53,EUR,Tracy Berry,False,ALLOWED,0.153,2026-04-05 06:36:05.389250,0
930,55,AL3584313119048911,AL6220078151478939,293.28,ALL,Brian Murray,False,ALLOWED,0.068,2025-08-14 20:24:25.389250,0
931,439,AL0455745869276505,AL2053557565663273,32.96,ALL,John Baker,False,ALLOWED,0.242,2026-03-13 15:17:03.389250,0
932,6,AL9394642792727747,AL6637737987782713,103.01,EUR,Barbara Gonzalez,False,ALLOWED,0.291,2025-08-23 00:25:59.390314,0
933,325,AL9878769349321258,AL5346328460081794,1928.01,GBP,Heidi Atkinson,False,ALLOWED,0.076,2025-09-27 22:55:12.390314,0
934,371,AL2812197562089005,AL5912401377006372,99.65,EUR,James Simmons,False,ALLOWED,0.145,2025-12-13 13:17:52.391330,0
935,211,AL8888374889541655,AL3778797978895793,1.32,ALL,Grace Oneal,False,ALLOWED,0.645,2025-12-19 15:24:03.391330,1
936,479,AL4498701466213799,AL3450442343955290,105.16,ALL,Julie Fuentes,False,ALLOWED,0.319,2025-06-21 00:43:09.392329,0
937,486,AL8948617367998544,AL0475116453360437,18.15,EUR,Teresa Cox,False,ALLOWED,0.121,2025-06-27 09:51:01.392329,0
938,9,AL5135316612267797,AL5167530664775084,406.07,ALL,Danielle Reid,False,ALLOWED,0.038,2025-10-24 22:26:30.393329,0
939,216,AL2035120014676692,AL3078138098116050,152.41,ALL,Jackie Cantrell,True,ALLOWED,0.005,2026-04-15 23:29:11.393329,0
940,36,AL0255829482003903,AL1700717119193791,142.93,ALL,Adrian Freeman,False,ALLOWED,0.156,2025-06-20 18:17:45.394328,0
941,424,AL3450442343955290,AL8032840204958783,0.91,GBP,Katherine Graves,True,REQUIRE_2FA,0.604,2026-05-16 07:42:08.394328,1
942,222,AL8485568150488235,AL9827197698810924,102.66,ALL,Derek Graham,False,ALLOWED,0.342,2025-07-04 08:22:11.395384,0
943,144,AL9951713308535045,AL9995288961548330,84.11,ALL,Julie Alexander,False,ALLOWED,0.254,2025-07-12 07:03:06.395384,0
944,60,AL2961182712226997,AL2942284375640005,591.03,EUR,Sandra Johnson,False,ALLOWED,0.025,2025-10-15 09:07:03.395384,0
945,75,AL9695003718242440,AL5688153759461913,2345.92,ALL,Alicia Valentine,False,ALLOWED,0.341,2026-03-15 03:49:43.396399,0
946,151,AL7238639352145838,AL4236032014135804,683.23,ALL,Nancy Rodriguez,False,ALLOWED,0.104,2026-05-16 11:32:18.396399,0
947,267,AL8054410347422649,AL9878769349321258,626.28,ALL,Patrick Jones,False,ALLOWED,0.268,2026-02-18 04:56:15.397398,0
948,348,AL0950112363722238,AL8048489403245413,1.28,ALL,Robert Best,True,REQUIRE_2FA,0.891,2025-12-11 09:11:34.397398,1
949,472,AL0059079487286056,AL4860845960140171,743.47,ALL,Michael White,False,ALLOWED,0.053,2025-05-30 22:01:27.398398,0
950,118,AL4124883359921731,AL9333306022275939,409.05,GBP,Leslie Garcia,False,ALLOWED,0.144,2025-12-29 21:41:35.398398,0
951,443,AL9071856762855305,AL8626212210954924,60.25,EUR,Zachary Young,True,ALLOWED,0.303,2025-08-14 22:06:25.399398,0
952,66,AL0502004870036783,AL9776363627572781,235.71,ALL,Courtney Lopez,False,ALLOWED,0.308,2026-02-28 06:38:13.399398,0
953,256,AL3757588915123648,AL6772896986481589,73.06,ALL,Sara Turner,False,ALLOWED,0.163,2025-06-24 13:17:32.400464,0
954,47,AL7045123698100512,AL0288108158753768,598.08,ALL,Jose Simmons,False,ALLOWED,0.282,2026-02-27 19:41:46.400464,0
955,323,AL1825012558170211,AL0247325020545638,273.99,EUR,Erika Jones,False,ALLOWED,0.129,2026-05-10 13:38:31.400464,0
956,399,AL2241515611872829,AL0241183557728384,153.88,CHF,Bradley Henderson,False,ALLOWED,0.266,2025-08-25 15:23:03.401479,0
